Ref,Val,Package,PosX,PosY,Rot,Side
"J8","Conn_01x03_Female","Conn1x3SMD",-16.095000,92.400000,180.000000,bottom
"J10","Conn_01x03_Female","Conn1x3SMD",-16.095000,103.400000,180.000000,bottom
